

1559836073.376326123  Node Startup
1559836075.879862785 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/msgClass
1559836075.919059991 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/desc
1559836075.920277595 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/msgClass
1559836075.921477079 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/msgId
1559836075.922760963 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/class
1559836075.924047470 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/ioPorts
1559836075.925374984 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/id
1559836075.926842689 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG35/desc
1559836075.928133726 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/msgClass
1559836075.929412841 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/msgId
1559836075.930847644 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/id
1559836075.932229042 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/ioPorts
1559836075.933601140 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/class
1559836075.935166358 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG32/desc
1559836075.936384916 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/msgClass
1559836075.937728881 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/msgId
1559836075.938974857 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/id
1559836075.940202951 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/ioPorts
1559836075.941396713 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/class
1559836075.942640542 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG33/desc
1559836075.943789482 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/msgClass
1559836075.944884777 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/msgId
1559836075.945938348 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/class
1559836075.947065114 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/ioPorts
1559836075.948090076 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/id
1559836075.949210882 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG30/desc
1559836075.950373172 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/msgClass
1559836075.951548814 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/msgId
1559836075.952687263 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/class
1559836075.953793048 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/ioPorts
1559836075.954919099 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/id
1559836075.956039905 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG31/desc
1559836075.957166671 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/msgClass
1559836075.958365917 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/msgId
1559836075.959592580 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/id
1559836075.960816383 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/ioPorts
1559836075.961962461 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/class
1559836075.963275671 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG38/desc
1559836075.964409351 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/msgClass
1559836075.965639352 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/msgId
1559836075.966828823 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/id
1559836075.968106985 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/ioPorts
1559836075.969353437 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/class
1559836075.970679998 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG39/desc
1559836075.971990823 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/prot_out
1559836075.973144292 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/class
1559836075.974462985 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/rate
1559836075.975587368 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/prot_in
1559836075.976943016 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/id
1559836075.978364944 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG81/desc
1559836075.979631423 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/msgClass
1559836075.980844974 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/msgId
1559836075.982094287 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/id
1559836075.983428239 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/ioPorts
1559836075.984445095 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/class
1559836075.985522747 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG08/desc
1559836075.986606836 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/msgClass
1559836075.987687826 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/msgId
1559836075.988769054 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/class
1559836075.989823102 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/ioPorts
1559836075.991098403 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/id
1559836075.992217540 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG07/desc
1559836075.993311882 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/msgClass
1559836075.994482278 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/msgId
1559836075.995624780 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/id
1559836075.996713161 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/ioPorts
1559836075.997827291 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/class
1559836075.999021053 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG06/desc
1559836076.000175714 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/msgClass
1559836076.001325607 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/msgId
1559836076.002705812 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/id
1559836076.003929376 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/ioPorts
1559836076.005130529 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/class
1559836076.006395816 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG05/desc
1559836076.007669210 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/msgClass
1559836076.008904218 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/msgId
1559836076.010128736 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/id
1559836076.011356830 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/ioPorts
1559836076.012516736 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/class
1559836076.013623476 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG04/desc
1559836076.014919519 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/msgClass
1559836076.016297578 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/msgId
1559836076.017511367 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/class
1559836076.018917322 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/ioPorts
1559836076.020186662 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/id
1559836076.021621465 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG03/desc
1559836076.022902488 ERROR [switch_thread.py:209(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] !!! send_config !!!
1559836076.024161100 ERROR [switch_thread.py:210(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ['STM2-CFG03', 'STM2-CFG04', 'STM2-CFG05', 'STM2-CFG06', 'STM2-CFG07', 'STM2-CFG08', 'STM2-CFG30', 'STM2-CFG31', 'STM2-CFG32', 'STM2-CFG33', 'STM2-CFG34', 'STM2-CFG35', 'STM2-CFG36', 'STM2-CFG37', 'STM2-CFG38', 'STM2-CFG39', 'STM2-CFG40', 'STM2-CFG41', 'STM2-CFG42', 'STM2-CFG60', 'STM2-CFG61', 'STM2-CFG62', 'STM2-CFG63', 'STM2-CFG81']
1559836076.025338888 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.031206846 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 5, 'class': '06', 'msgClass': 245, 'desc': 'Disable U-blox RTCM 1005', 'id': '01'}
1559836076.032846450 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable U-blox RTCM 1005
1559836076.034014225 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.039987087 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 6, 'class': '06', 'msgClass': 1, 'desc': 'Enable U-blox NAV-SOL', 'id': '01'}
1559836076.041471481 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable U-blox NAV-SOL
1559836076.042646646 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.048621416 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 7, 'class': '06', 'msgClass': 1, 'desc': 'Enable U-blox NAV-PVT', 'id': '01'}
1559836076.050067901 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable U-blox NAV-PVT
1559836076.051339864 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.058957099 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 4, 'class': '06', 'msgClass': 1, 'desc': 'Enable U-blox NAV-DOP', 'id': '01'}
1559836076.060516834 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable U-blox NAV-DOP
1559836076.061518192 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.067495107 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 3, 'class': '06', 'msgClass': 1, 'desc': 'Enable U-blox NAV-STATUS', 'id': '01'}
1559836076.069137811 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable U-blox NAV-STATUS
1559836076.070328474 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.076857089 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 59, 'class': '06', 'msgClass': 1, 'desc': 'Enable U-blox NAV-SVIN', 'id': '01'}
1559836076.078305482 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable U-blox NAV-SVIN
1559836076.079266309 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.085278749 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 1, 0, 0], 'msgId': 0, 'class': '06', 'msgClass': 240, 'desc': 'Enable GGA', 'id': '01'}
1559836076.086765050 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Enable GGA
1559836076.087709188 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.094082832 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 1, 'class': '06', 'msgClass': 240, 'desc': 'Disable GLL', 'id': '01'}
1559836076.095887422 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GLL
1559836076.096873283 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.102876186 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 2, 'class': '06', 'msgClass': 240, 'desc': 'Disable GSA', 'id': '01'}
1559836076.104734897 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GSA
1559836076.105703115 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.111808300 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 3, 'class': '06', 'msgClass': 240, 'desc': 'Disable GSV', 'id': '01'}
1559836076.113226890 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GSV
1559836076.114391088 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.120517730 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 4, 'class': '06', 'msgClass': 240, 'desc': 'Disable RMC', 'id': '01'}
